state,capital,x,y
Alabama,Montgomery,139,-77
Alaska,Juneau,-204,-170
Arizona,Phoenix,-203,-40
Arkansas,Little Rock,57,-53
California,Sacramento,-297,13
Colorado,Denver,-112,20
Connecticut,Hartford,297,96
Delaware,Dover,275,42
Florida,Tallahassee,220,-145
Georgia,Atlanta,182,-75
Hawaii,Honolulu,-317,-143
Idaho,Boise,-216,122
Illinois,Springfield,95,37
Indiana,Indianapolis,133,39
Iowa,Des Moines,38,65
Kansas,Topeka,-17,5
Kentucky,Frankfort,149,1
Louisiana,Baton Rouge,59,-114
Maine,Augusta,319,164
Maryland,Annapolis,288,27
Massachusetts,Boston,312,112
Michigan,Lansing,148,101
Minnesota,St. Paul,23,135
Mississippi,Jackson,94,-78
Missouri,Jefferson City,49,6
Montana,Helena,-141,150
Nebraska,Lincoln,-61,66
Nevada,Carson City,-257,56
New Hampshire,Concord,302,127
New Jersey,Trenton,282,65
New Mexico,Santa Fe,-128,-43
New York,Albany,236,104
North Carolina,Raleigh,239,-22
North Dakota,Bismarck,-44,158
Ohio,Columbus,176,52
Oklahoma,Oklahoma City,-8,-41
Oregon,Salem,-278,138
Pennsylvania,Harrisburg,238,72
Rhode Island,Providence,318,94
South Carolina,Columbia,218,-51
South Dakota,Pierre,-44,109
Tennessee,Nashville,131,-34
Texas,Austin,-38,-106
Utah,Salt Lake City,-189,34
Vermont,Montpelier,282,154
Virginia,Richmond,234,12
Washington,Olympia,-257,193
West Virginia,Charleston,200,20
Wisconsin,Madison,83,113
Wyoming,Cheyenne,-134,90
