,0
0,Montgomery
1,Juneau
2,Little Rock
3,Sacramento
4,Denver
5,Dover
6,Tallahassee
7,Atlanta
8,Honolulu
9,Boise
10,Springfield
11,Indianapolis
12,Des Moines
13,Topeka
14,Frankfort
15,Augusta
16,Boston
17,Lansing
18,St. Paul
19,Jackson
20,Jefferson City
21,Lincoln
22,Carson City
23,Concord
24,Trenton
25,Raleigh
26,Bismarck
27,Columbus
28,Oklahoma City
29,Salem
30,Providence
31,Columbia
32,Pierre
33,Nashville
34,Salt Lake City
35,Montpelier
36,Richmond
37,Olympia
38,Charleston
39,Madison
40,Cheyenne
