_position,book_name,goodreads_score,author,rating,url,my_column/_source,rating,total_ratings,pages
1,All the Light We Cannot See,3288,Anthony Doerr,"4.29 of 5 stars 4.29 avg rating „ 179,342 ratings",https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,/book/show/18143977-all-the-light-we-cannot-see,4.29,179342,530
2,The Fault in Our Stars,2471,John Green,"4.36 of 5 stars 4.36 avg rating „ 1,577,550 ratings",https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,/book/show/11870085-the-fault-in-our-stars,4.36,1577550,313
3,The Nightingale,2196,Kristin Hannah,"4.54 of 5 stars 4.54 avg rating „ 52,099 ratings",https://www.goodreads.com/book/show/21853621-the-nightingale,/book/show/21853621-the-nightingale,4.54,52099,438
4,The Girl on the Train,2188,Paula Hawkins,"3.86 of 5 stars 3.86 avg rating „ 282,985 ratings",https://www.goodreads.com/book/show/22557272-the-girl-on-the-train,/book/show/22557272-the-girl-on-the-train,3.86,282985,323
5,Gone Girl,1756,Gillian Flynn,"3.98 of 5 stars 3.98 avg rating „ 1,083,869 ratings",https://www.goodreads.com/book/show/19288043-gone-girl,/book/show/19288043-gone-girl,3.98,1083869,422
6,Orphan Train,1581,Christina Baker Kline,"4.1 of 5 stars 4.10 avg rating „ 150,431 ratings",https://www.goodreads.com/book/show/15818107-orphan-train,/book/show/15818107-orphan-train,4.10,150431,278
7,The Goldfinch,1485,Donna Tartt,"3.86 of 5 stars 3.86 avg rating „ 283,030 ratings",https://www.goodreads.com/book/show/17333223-the-goldfinch,/book/show/17333223-the-goldfinch,3.86,283030,771
8,Gray Mountain,1191,John Grisham,"3.47 of 5 stars 3.47 avg rating „ 30,770 ratings",https://www.goodreads.com/book/show/20707959-gray-mountain,/book/show/20707959-gray-mountain,3.47,30770,368
9,Big Little Lies,1187,Liane Moriarty,"4.16 of 5 stars 4.16 avg rating „ 132,839 ratings",https://www.goodreads.com/book/show/19486412-big-little-lies,/book/show/19486412-big-little-lies,4.16,132839,460
10,The Invention of Wings,1165,Sue Monk Kidd,"4.22 of 5 stars 4.22 avg rating „ 117,127 ratings",https://www.goodreads.com/book/show/18079776-the-invention-of-wings,/book/show/18079776-the-invention-of-wings,4.22,117127,384
11,Me Before You,1070,Jojo Moyes,"4.3 of 5 stars 4.30 avg rating „ 234,030 ratings",https://www.goodreads.com/book/show/15507958-me-before-you,/book/show/15507958-me-before-you,4.30,234030,369
12,"The Escape (John Puller, #3)",985,David Baldacci,"4.1 of 5 stars 4.10 avg rating „ 13,162 ratings",https://www.goodreads.com/book/show/20767918-the-escape,/book/show/20767918-the-escape,4.10,13162,470
13,Sarah's Key,981,Tatiana de Rosnay,"4.12 of 5 stars 4.12 avg rating „ 286,227 ratings",https://www.goodreads.com/book/show/556602.Sarah_s_Key,/book/show/556602.Sarah_s_Key,4.12,286227,294
14,Before I Go,795,Colleen Oakley,"3.8 of 5 stars 3.80 avg rating „ 5,613 ratings",https://www.goodreads.com/book/show/20871704-before-i-go,/book/show/20871704-before-i-go,3.80,5613,309
15,A Spool of Blue Thread,684,Anne Tyler,"3.46 of 5 stars 3.46 avg rating „ 20,403 ratings",https://www.goodreads.com/book/show/22501028-a-spool-of-blue-thread,/book/show/22501028-a-spool-of-blue-thread,3.46,20403,358
16,The Husband's Secret,667,Liane Moriarty,"3.89 of 5 stars 3.89 avg rating „ 192,236 ratings",https://www.goodreads.com/book/show/17802724-the-husband-s-secret,/book/show/17802724-the-husband-s-secret,3.89,192236,396
17,"As Chimney Sweepers Come to Dust (Flavia de Luce, #7)",596,Alan Bradley,"3.93 of 5 stars 3.93 avg rating „ 8,623 ratings",https://www.goodreads.com/book/show/21874813-as-chimney-sweepers-come-to-dust,/book/show/21874813-as-chimney-sweepers-come-to-dust,3.93,8623,392
18,Revival,593,Stephen King,"3.76 of 5 stars 3.76 avg rating „ 39,955 ratings",https://www.goodreads.com/book/show/20926278-revival,/book/show/20926278-revival,3.76,39955,405
19,"Edge of Eternity (The Century Trilogy, #3)",586,Ken Follett,"3.93 of 5 stars 3.93 avg rating „ 27,360 ratings",https://www.goodreads.com/book/show/11389875-edge-of-eternity,/book/show/11389875-edge-of-eternity,3.93,27360,1098
20,Leaving Time,580,Jodi Picoult,"3.9 of 5 stars 3.90 avg rating „ 49,165 ratings",https://www.goodreads.com/book/show/18816603-leaving-time,/book/show/18816603-leaving-time,3.90,49165,398
21,"Sycamore Row (Jake Brigance, #2)",572,John Grisham,"3.95 of 5 stars 3.95 avg rating „ 59,046 ratings",https://www.goodreads.com/book/show/17288661-sycamore-row,/book/show/17288661-sycamore-row,3.95,59046,447
22,Station Eleven,489,Emily St. John Mandel,"4.01 of 5 stars 4.01 avg rating „ 82,188 ratings",https://www.goodreads.com/book/show/20170404-station-eleven,/book/show/20170404-station-eleven,4.01,82188,336
23,Be Careful What You Wish For (The Clifton Chronicles #4),477,Jeffrey Archer,"3.92 of 5 stars 3.92 avg rating „ 8,999 ratings",https://www.goodreads.com/book/show/18404285-be-careful-what-you-wish-for,/book/show/18404285-be-careful-what-you-wish-for,3.92,8999,387
24,"Memory Man (Amos Decker, #1)",463,David Baldacci,"4.07 of 5 stars 4.07 avg rating „ 12,660 ratings",https://www.goodreads.com/book/show/23153154-memory-man,/book/show/23153154-memory-man,4.07,12660,405
25,"The Burning Room (Harry Bosch, #19)",396,Michael Connelly,"4.01 of 5 stars 4.01 avg rating „ 15,859 ratings",https://www.goodreads.com/book/show/20881071-the-burning-room,/book/show/20881071-the-burning-room,4.01,15859,388
26,"Obsession in Death (In Death, #40)",396,J.D. Robb,"4.32 of 5 stars 4.32 avg rating „ 7,057 ratings",https://www.goodreads.com/book/show/22571696-obsession-in-death,/book/show/22571696-obsession-in-death,4.32,7057,404
27,"Full Force and Effect (Jack Ryan, #10)",394,Mark Greaney,"4.21 of 5 stars 4.21 avg rating „ 2,907 ratings",https://www.goodreads.com/book/show/22825382-full-force-and-effect,/book/show/22825382-full-force-and-effect,4.21,2907,674
28,What Alice Forgot,379,Liane Moriarty,"3.99 of 5 stars 3.99 avg rating „ 100,311 ratings",https://www.goodreads.com/book/show/6469165-what-alice-forgot,/book/show/6469165-what-alice-forgot,3.99,100311,487
29,The Bone Clocks,378,David Mitchell,"3.8 of 5 stars 3.80 avg rating „ 34,786 ratings",https://www.goodreads.com/book/show/20819685-the-bone-clocks,/book/show/20819685-the-bone-clocks,3.80,34786,624
30,"Last to Die (Rizzoli & Isles, #10)",292,Tess Gerritsen,"4.08 of 5 stars 4.08 avg rating „ 14,541 ratings",https://www.goodreads.com/book/show/13272498-last-to-die,/book/show/13272498-last-to-die,4.08,14541,352
31,"First Frost (Waverley Family, #2)",287,Sarah Addison Allen,"3.98 of 5 stars 3.98 avg rating „ 12,159 ratings",https://www.goodreads.com/book/show/21853633-first-frost,/book/show/21853633-first-frost,3.98,12159,291
32,"Somewhere Safe with Somebody Good (Mitford Years, #10)",285,Jan Karon,"4.21 of 5 stars 4.21 avg rating „ 5,441 ratings",https://www.goodreads.com/book/show/20702311-somewhere-safe-with-somebody-good,/book/show/20702311-somewhere-safe-with-somebody-good,4.21,5441,511
33,"The Rosie Effect (Don Tillman, #2)",285,Graeme Simsion,"3.53 of 5 stars 3.53 avg rating „ 31,334 ratings",https://www.goodreads.com/book/show/21844019-the-rosie-effect,/book/show/21844019-the-rosie-effect,3.53,31334,415
34,"Mightier Than the Sword (The Clifton Chronicles, #5)",279,Jeffrey Archer,"3.94 of 5 stars 3.94 avg rating „ 4,653 ratings",https://www.goodreads.com/book/show/21853645-mightier-than-the-sword,/book/show/21853645-mightier-than-the-sword,3.94,4653,400
35,In the Unlikely Event,273,Judy Blume,"3.59 of 5 stars 3.59 avg rating „ 13,628 ratings",https://www.goodreads.com/book/show/23899174-in-the-unlikely-event,/book/show/23899174-in-the-unlikely-event,3.59,13628,397
36,All the Single Ladies,273,Dorothea Benton Frank,"3.58 of 5 stars 3.58 avg rating „ 2,191 ratings",https://www.goodreads.com/book/show/23215447-all-the-single-ladies,/book/show/23215447-all-the-single-ladies,3.58,2191,368
37,The Boston Girl,198,Anita Diamant,"3.76 of 5 stars 3.76 avg rating „ 24,631 ratings",https://www.goodreads.com/book/show/22450859-the-boston-girl,/book/show/22450859-the-boston-girl,3.76,24631,320
38,"Dead Heat (Alpha & Omega, #4)",198,Patricia Briggs,"4.24 of 5 stars 4.24 avg rating „ 9,585 ratings",https://www.goodreads.com/book/show/18941694-dead-heat,/book/show/18941694-dead-heat,4.24,9585,324
39,"Rain on the Dead (Sean Dillon, #21)",197,Jack Higgins,3.56 of 5 stars 3.56 avg rating „ 661 ratings,https://www.goodreads.com/book/show/20821202-rain-on-the-dead,/book/show/20821202-rain-on-the-dead,3.56,661,320
