title,num_review,num_ratings,url,rating,num_pages,genres
father mine,1276,33527,https://www.goodreads.com/book/show/5153799-father-mine,4.51,91.0,"fantasy,romance,paranormal"
the fire next time,1837,25009,https://www.goodreads.com/book/show/464260.The_Fire_Next_Time,4.48,106.0,"nonfiction,writing,race"
we should all be feminists,9209,77894,https://www.goodreads.com/book/show/22738563-we-should-all-be-feminists,4.46,52.0,"nonfiction,feminism,writing"
elixir,1615,24420,https://www.goodreads.com/book/show/13605727-elixir,4.41,74.0,"young adult,fantasy,fantasy"
batman: the killing joke,3960,133987,https://www.goodreads.com/book/show/96358.Batman,4.37,50.0,"sequential art,sequential art,dc comics"
letters to a young poet,2447,35218,https://www.goodreads.com/book/show/46199.Letters_to_a_Young_Poet,4.34,80.0,"poetry,nonfiction,classics"
twenty love poems and a song of despair,1650,39376,https://www.goodreads.com/book/show/5932.Twenty_Love_Poems_and_a_Song_of_Despair,4.32,70.0,"classics,poetry,romance"
night,23405,758740,https://www.goodreads.com/book/show/1617.Night,4.3,120.0,"nonfiction,classics,history"
as a man thinketh,2033,39402,https://www.goodreads.com/book/show/81959.As_a_Man_Thinketh,4.29,80.0,"self help,self help,inspirational"
chess story,2309,36747,https://www.goodreads.com/book/show/59151.Chess_Story,4.29,104.0,"fiction,european literature,literature"
the raven,1520,74224,https://www.goodreads.com/book/show/264158.The_Raven,4.28,64.0,"classics,horror,fiction"
всяка сутрин пътят към дома става все по-дълъг,2993,15299,https://www.goodreads.com/book/show/33836327--,4.28,64.0,"contemporary,fiction,short stories"
very good lives: the fringe benefits of failure and the importance of imagination,2168,15979,https://www.goodreads.com/book/show/23731881-very-good-lives,4.27,74.0,"nonfiction,writing,self help"
the son of sobek,1433,28112,https://www.goodreads.com/book/show/17312201-the-son-of-sobek,4.26,40.0,"fantasy,fantasy,young adult"
a grief observed,2127,41266,https://www.goodreads.com/book/show/49221.A_Grief_Observed,4.24,112.0,"christian,religion,religion"
ariel,1189,41968,https://www.goodreads.com/book/show/395090.Ariel,4.23,105.0,"poetry,classics,feminism"
the tell-tale heart,1238,42478,https://www.goodreads.com/book/show/899492.The_Tell_Tale_Heart,4.22,31.0,"classics,short stories,horror"
the elements of style,3117,60162,https://www.goodreads.com/book/show/33514.The_Elements_of_Style,4.2,105.0,"nonfiction,humanities,classics"
oscar et la dame rose,1174,18385,https://www.goodreads.com/book/show/120461.Oscar_et_la_dame_rose,4.2,100.0,"fiction,cultural,academic"
the invisible bridge,4472,41439,https://www.goodreads.com/book/show/7274337-the-invisible-bridge,4.19,28.0,"historical,fiction,war"
the transfer,2969,48727,https://www.goodreads.com/book/show/18080920-the-transfer,4.18,55.0,"young adult,science fiction,short stories"
the importance of being earnest,6942,248394,https://www.goodreads.com/book/show/92303.The_Importance_of_Being_Earnest,4.17,76.0,"classics,plays,fiction"
free four: tobias tells the divergent knife-throwing scene,4788,89212,https://www.goodreads.com/book/show/13615258-free-four,4.17,43.0,"young adult,science fiction,short stories"
notes from the underground,2712,41613,https://www.goodreads.com/book/show/31541670-notes-from-the-underground,4.16,116.0,"classics,fiction,cultural"
رجال في الشمس,1973,11876,https://www.goodreads.com/book/show/4653511,4.16,96.0,novels
adulthood is a myth,4310,51732,https://www.goodreads.com/book/show/25855506-adulthood-is-a-myth,4.15,112.0,"sequential art,humor,sequential art"
howl and other poems,1338,79824,https://www.goodreads.com/book/show/6295.Howl_and_Other_Poems,4.14,56.0,"poetry,classics,fiction"
sum: forty tales from the afterlives,1588,10945,https://www.goodreads.com/book/show/4948826-sum,4.14,110.0,"short stories,fiction,philosophy"
the melancholy death of oyster boy and other stories,1694,27198,https://www.goodreads.com/book/show/519112.The_Melancholy_Death_of_Oyster_Boy_and_Other_Stories,4.13,115.0,"fiction,short stories,fantasy"
legion,2330,25941,https://www.goodreads.com/book/show/13452375-legion,4.13,88.0,"fantasy,science fiction,fiction"
too loud a solitude,1105,10636,https://www.goodreads.com/book/show/87280.Too_Loud_a_Solitude,4.13,98.0,"fiction,european literature,novels"
daimon,1297,18124,https://www.goodreads.com/book/show/10860399-daimon,4.12,62.0,"young adult,fantasy,fantasy"
the overcoat,1193,18103,https://www.goodreads.com/book/show/537094.The_Overcoat,4.12,48.0,"classics,short stories,cultural"
